Time,Average,Washington Post, Daily Mail, Fox News,The Guardian, New York Times
1,0.013761862,0.012018779,0.026035175,0.008709981,0.010709505,0.003173164
2,0.010952149,0.011580595,0.014263952,0.008003766,0.009753299,0.004079782
3,0.008945211,0.007887324,0.013294558,0.006355932,0.010327022,0.004079782
4,0.010120703,0.009514867,0.013156073,0.007768362,0.01166571,0.00543971
5,0.01100949,0.010203443,0.014263952,0.008709981,0.011283228,0.009972801
6,0.010264056,0.008262911,0.015510317,0.007297552,0.011856952,0.009519492
7,0.010378738,0.009389671,0.013710012,0.005885122,0.011856952,0.011786038
8,0.010952149,0.008325509,0.015648802,0.008003766,0.010900746,0.020398912
9,0.012471688,0.009577465,0.017310622,0.009416196,0.01319564,0.02175884
10,0.012328335,0.008200313,0.018972441,0.008239171,0.011474469,0.030371714
11,0.011726254,0.007887324,0.016202742,0.009651601,0.010900746,0.030825023
12,0.012213653,0.0085759,0.018972441,0.008945386,0.011283228,0.024932004
13,0.013589839,0.00913928,0.018695472,0.011299435,0.00994454,0.042157752
14,0.014421285,0.008388106,0.019803351,0.015772128,0.01491681,0.036718042
15,0.014449956,0.010391236,0.023680931,0.01200565,0.013578122,0.020398912
16,0.014077238,0.010516432,0.022019111,0.011299435,0.00994454,0.029011786
17,0.014507297,0.009890454,0.022711536,0.010828625,0.016064257,0.024478694
18,0.014765332,0.009890454,0.024234871,0.009416196,0.015873016,0.02674524
19,0.01310244,0.01114241,0.018003047,0.009416196,0.013578122,0.017225748
20,0.015510766,0.010516432,0.021880626,0.009416196,0.017976669,0.036718042
21,0.016456894,0.013270736,0.022573051,0.009651601,0.017211704,0.030825023
22,0.01731701,0.013458529,0.02451184,0.01153484,0.018741633,0.029465095
23,0.017890421,0.014147105,0.025758205,0.011299435,0.022375215,0.02130553
24,0.017431692,0.015023474,0.018418502,0.014359699,0.021992733,0.02674524
25,0.016858281,0.014084507,0.019664866,0.01200565,0.02314018,0.022212149
26,0.016026836,0.013208138,0.018695472,0.014124294,0.018550392,0.025385313
27,0.013761862,0.012081377,0.013433043,0.009180791,0.015681775,0.031278332
28,0.014363944,0.012707355,0.016895167,0.014830508,0.013578122,0.019038985
29,0.014564638,0.012269171,0.016618197,0.013182674,0.015490534,0.024932004
30,0.012557699,0.012519562,0.014125467,0.010122411,0.010327022,0.017679057
31,0.011754924,0.009577465,0.015371832,0.010122411,0.012048193,0.018132366
